lat,long,line
19.251002680812658,72.86688943815732,red
19.243205333820256,72.86402909336564,red
19.234692197484538,72.86313140393797,red
19.22426534005797,72.86427358455985,red
19.217204497846883,72.86675617024532,red
19.203816308285734,72.86331644318459,red
19.198279945134573,72.86065439346307,red
19.187291407495074,72.85829145053233,red
19.17976619962994,72.85837646137992,red
19.169504503637018,72.85878019738314,red
19.152422579648942,72.85650095848534,red
19.142950675282627,72.85501427650004,red
19.128696640004865,72.85535637485427,red
19.114765048231273,72.8551300501301,red
19.08675987629867,72.90801978528032,pink
19.092610900406797,72.90188809782082,pink
19.09631361561854,72.8950086435804,pink
19.10344697501556,72.8879408286175,pink
19.108040026285572,72.87951543642181,pink
19.110202543727226,72.87416855292395,pink
19.112116252429804,72.86744444183702,pink
19.115905330236657,72.85644687460014,pink
19.120597192186253,72.8487984779741,pink
19.12688535078988,72.83774919829862,pink
19.128299033879394,72.83023950887329,pink
19.130339517369848,72.82145938320025,pink
19.12909922649232,72.83146759713001,yellow
19.1406336934662,72.83165603226283,yellow
19.146025871009122,72.83400991010842,yellow
19.15313576852067,72.83572178945701,yellow
19.16242002709552,72.83490495437017,yellow
19.17292107668259,72.83642006591934,yellow
19.18529844574292,72.8358986314186,yellow
19.196912998498966,72.83391127726375,yellow
19.20606468863922,72.83482624723082,yellow
19.21395238658883,72.83732519748823,yellow
19.22285230275763,72.84089653194083,yellow
19.231398741416,72.84096540064435,yellow
19.24040917882216,72.84350370443842,yellow
19.249391256630542,72.84571734149063,yellow
19.256570992114515,72.85061685811537,yellow
19.257350634118513,72.8660770059775,yellow